Interval,LMP
1,120.41563
2,114.57175
3,113.77209
4,109.1938
5,108.12841
6,111.33543
7,127.64566
8,124.32962
9,101.92787
10,79.89703
11,65.71376
12,57.75414
13,52.65259
14,46.5156
15,55.62719
16,86.50052
17,139.6303
18,154.96948
19,149.33041
20,148.15198
21,145
22,145
23,142.57928
24,131.91618
25,128.84029
26,122.53053
27,121.03629
28,117.16392
29,117.71406
30,129.3602
31,148.85666
32,144.26526
33,121.68766
34,109.93375
35,105.04882
36,105.0925
37,105.65121
38,105.78444
39,109.57135
40,130.56812
41,159.7775
42,173.80463
43,165.8195
44,162.6538
45,162.01459
46,157.28687
47,145.50853
48,137.2571
49,151.96964
50,145.9484
51,145.57417
52,144.10043
53,146.79861
54,161.52197
55,189.4946
56,190.47293
57,156.42426
58,146.59296
59,136.39082
60,133.3172
61,130.46623
62,127.58026
63,136.09624
64,160.93088
65,196.04218
66,206.53773
67,202.21455
68,199.11263
69,198.73407
70,190.27594
71,179.93867
72,161.77582
73,198.54134
74,195.7776
75,189.95288
76,196.37509
77,198.57993
78,208.789
79,240.25948
80,246.1169
81,223.70226
82,211.87227
83,198.66733
84,197.02206
85,194.30559
86,194.72958
87,197.11742
88,218.59538
89,240.7682
90,254.6524
91,248.46992
92,241.77057
93,235.8362
94,220.21024
95,206.76282
96,205.2496
97,154.94614
98,149.36223
99,147.93707
100,151.29376
101,155.40999
102,169.12167
103,195.85753
104,197.92284
105,191.45445
106,178.71616
107,178.87936
108,174.50485
109,168.85721
110,166.02188
111,163.60034
112,185.72755
113,202.91924
114,210.60564
115,203.08104
116,200.08688
117,196.38504
118,182.65771
119,159.3159
120,159.54204
121,139.53487
122,138.84547
123,138.2548
124,139.00066
125,144.53258
126,170.93729
127,186.90433
128,179.81963
129,151.50357
130,128.03928
131,118.99927
132,113.70729
133,109.69017
134,108.26498
135,113.99659
136,142.9593
137,186.57552
138,204.89975
139,196.25584
140,188.65135
141,188.26125
142,177.28516
143,170.27882
144,154.8677
145,154.32257
146,155.66248
147,147.42229
148,149.38
149,157.89362
150,160
151,163.34311
152,158.31293
153,144.47816
154,131.77469
155,128.74036
156,127.8264
157,128.0794
158,126.4724
159,131.57524
160,143.98705
161,168.9705
162,176.46107
163,171.56966
164,169.44798
165,168.55983
166,165.83592
167,155.83249
168,146.37447
169,141.7087
170,136.33388
171,140.0843
172,135.87427
173,135.75392
174,135.36005
175,138.00722
176,139.82504
177,131.21548
178,119.79321
179,105.92024
180,103.93165
181,99.73893
182,98.05037
183,104.4442
184,130.74574
185,161.72285
186,174.82423
187,166.91974
188,163.01733
189,161.697
190,153.93971
191,143.42242
192,140.75291
193,139.97392
194,137.3832
195,133.63155
196,133.22408
197,134.52393
198,148.7672
199,160.0327
200,173.7574
201,163.2083
202,145.0404
203,148.59032
204,141.9284
205,141.43167
206,142.5098
207,150.9103
208,175.85034
209,184.86365
210,196.75146
211,183.06139
212,180.08867
213,176.43279
214,166.62984
215,158.7471
216,149.61232
217,140.48926
218,135.59052
219,133.60172
220,132.26305
221,135.95383
222,147.82756
223,170.60161
224,180.41365
225,172.50679
226,153.8725
227,142.07397
228,135.96063
229,130.1258
230,129.96474
231,129.90097
232,140.7609
233,178.52867
234,189.67656
235,183.36679
236,179.39622
237,175.37541
238,168.90059
239,159.88583
240,154.51097
241,146.23573
242,140.86917
243,138.88487
244,139.48479
245,146.67249
246,164.6194
247,180.7355
248,180.0936
249,154.99582
250,142.71036
251,133.94307
252,133.59454
253,130.53905
254,127.29494
255,133.94017
256,154.23839
257,184.10844
258,191.82063
259,182.5911
260,179.80081
261,179.08113
262,168.24564
263,158.31905
264,154.49837
265,138.19402
266,132.90508
267,131.34694
268,131.80217
269,133.64886
270,149.94717
271,174.9875
272,171.2353
273,138.67104
274,129.63701
275,125.02026
276,122.13163
277,120.74015
278,118.26777
279,121.92325
280,140.67798
281,167.03815
282,178.8585
283,173.59392
284,167.29887
285,161.13643
286,150.44556
287,146.23459
288,143.38655
289,174.70428
290,170.77
291,170.99918
292,172.57532
293,178.55856
294,202.12282
295,228.37424
296,221.79498
297,196.5013
298,186.35129
299,179.77504
300,170.16966
301,166.20285
302,164.74066
303,169.34792
304,188.54736
305,220.92978
306,227.787
307,220.4491
308,212.564
309,207.75967
310,191.68492
311,189.31068
312,184.02515
313,144.46368
314,137.71364
315,132.13123
316,128.09521
317,131.36288
318,133.34122
319,136.04568
320,139.39188
321,131.592
322,125.6867
323,125.63169
324,123.01043
325,121.32219
326,119.06081
327,119.52693
328,134.58269
329,156.39856
330,168.08691
331,165.44112
332,157.79147
333,152.3044
334,137.99066
335,136.2201
336,129.67789
337,126.73539
338,125.33736
339,122.22782
340,121.17835
341,122.33773
342,124.66744
343,129.31853
344,130.15353
345,119.44001
346,107.50208
347,103.2098
348,100.6432
349,99.6205
350,100.87367
351,108.1749
352,126.16313
353,148.35953
354,167.56805
355,164.2626
356,158.42285
357,155.61078
358,142.87766
359,132.07498
360,129.83968
361,132.66075
362,125.26651
363,124.6288
364,124.56457
365,133.4842
366,136.23174
367,155.74294
368,165.84203
369,156.96416
370,141.14671
371,129.47984
372,116.66208
373,111.40548
374,108.92762
375,109.21161
376,125.68773
377,161.24326
378,186.22076
379,179.57735
380,172.8486
381,167.70477
382,157.48538
383,145.83905
384,135.4471
385,132.24947
386,128.39346
387,125.96214
388,125.86577
389,130.68906
390,141.99518
391,162.0454
392,164.58716
393,134.60632
394,101.79762
395,83.51329
396,72.31141
397,71.06551
398,68.60381
399,75.87212
400,116.23577
401,163.20238
402,177.32198
403,177.03746
404,171.01253
405,166.33398
406,162.3137
407,151.43301
408,141.28093
409,173.72128
410,172.4151
411,171.91777
412,174.36584
413,183.7748
414,221.29945
415,213.63235
416,232.87933
417,173.54898
418,144.5053
419,131.85785
420,127.36255
421,119.63782
422,123.21309
423,151.01419
424,171.3489
425,209.553
426,232.46817
427,230.06668
428,208.90355
429,198.48871
430,190.1708
431,182.44287
432,175.39014
433,160.9378
434,154.53116
435,153.52504
436,152.98135
437,161.22375
438,184.22102
439,190.2797
440,200
441,162.07375
442,138.47675
443,125.72954
444,109.44703
445,99.71649
446,97.02473
447,116.23123
448,148.43985
449,186.53963
450,205.28287
451,199.96986
452,192.20084
453,185.39452
454,178.52283
455,164.75845
456,161.92067
457,125.18928
458,125.47254
459,125.5236
460,123.79775
461,118.49196
462,123.95971
463,150.54305
464,160.7452
465,130.93839
466,97.48699
467,77.51543
468,61.693
469,49.68886
470,48.09819
471,57.23001
472,110.47859
473,141.29704
474,183.03091
475,179.95296
476,169.99574
477,165.31325
478,159.7816
479,151.13452
480,142.36699
481,143.76793
482,135.21533
483,129.21239
484,129.1136
485,136.87997
486,144.01598
487,147.40936
488,142.8664
489,115.97376
490,65.5669
491,32.43259
492,25.45985
493,15.61337
494,14.54095
495,26.03537
496,81.12993
497,142.18285
498,151.36418
499,154.36945
500,146.6183
501,145.7769
502,146.05115
503,142.7972
504,135.4631
505,128.87706
506,122.44902
507,118.44807
508,117.29705
509,117.54121
510,120.89741
511,120.16893
512,116.66442
513,79.51525
514,21.92609
515,3.17053
516,-5.8713
517,-7.80061
518,-7.83782
519,0.78003
520,52.25457
521,129.2488
522,146.50742
523,142.9831
524,143.48618
525,141.7147
526,138.24515
527,132.90439
528,126.17717
529,129.3459
530,128.19588
531,123.02757
532,127.70753
533,132.74805
534,157.33434
535,176.13763
536,163.64682
537,124.85
538,79.85457
539,46.18497
540,33.75784
541,22.15047
542,22.62944
543,37.71582
544,89.1996
545,147.84193
546,190.66818
547,191.36545
548,181.92268
549,174.56747
550,168.80777
551,158.77058
552,148.61932
553,153.41055
554,151.24785
555,146.9734
556,152.8432
557,167.00896
558,188.94708
559,195.67174
560,192.46843
561,128.85648
562,90.16138
563,69.87201
564,45.91636
565,26.85931
566,28.22941
567,38.92133
568,104.14064
569,151.90596
570,189.9647
571,189.64902
572,180.28877
573,171.85207
574,163.22234
575,149.59785
576,134.11641
577,156.23605
578,153.90694
579,153.37091
580,157.1684
581,177.35245
582,189.40639
583,189.6235
584,197.32176
585,146.91705
586,107.21813
587,77.48173
588,48.13987
589,35.89949
590,26.03666
591,41.67536
592,119.46324
593,177.92581
594,198.9096
595,195.97484
596,185.42294
597,186.46593
598,180.16975
599,168.34409
600,153.33672
601,124.63315
602,123.71117
603,122.75127
604,122.47183
605,125.55315
606,152.57617
607,186.94655
608,155.50504
609,125.52707
610,107.07658
611,94.13607
612,84.73271
613,64.66021
614,54.78101
615,74.07074
616,105.90439
617,143.06468
618,172.35097
619,167.79176
620,159.43579
621,156.60587
622,152.81996
623,144.58014
624,136.6265
625,82.94792
626,78.04009
627,75.49011
628,74.49298
629,82.92794
630,101.51295
631,117.45902
632,99.81175
633,72.87115
634,60.73775
635,53.41727
636,45.6241
637,37.69815
638,27.58687
639,34.11192
640,57.52861
641,81.47515
642,102.55166
643,98.36515
644,90.26732
645,89.2201
646,86.1327
647,81.47747
648,77.90088
649,88.21656
650,90.53915
651,89.05628
652,90.49703
653,94.44369
654,104.05368
655,113.57481
656,96.54526
657,71.56802
658,54.50081
659,44.58655
660,24.87372
661,7.60537
662,9.22842
663,16.60672
664,50.73831
665,96.07259
666,114.71282
667,111.78129
668,106.26114
669,100.5051
670,99.51669
671,96.18822
672,92.34551
673,100.54098
674,99.17125
675,95.18385
676,94.69256
677,96.6972
678,96.41285
679,100.87224
680,93.89724
681,72.74422
682,48.23995
683,30.71155
684,25.36531
685,29.56383
686,38.14893
687,49.7826
688,81.4538
689,112.23397
690,129.43288
691,129.50635
692,124.01225
693,121.19417
694,119.33812
695,113.89054
696,102.20096
697,103.83757
698,100.49509
699,99.60026
700,100.16626
701,108.89923
702,128.15323
703,160.63472
704,164.68114
705,123.63568
706,102.46405
707,93.07361
708,91.20144
709,87.42444
710,85.11896
711,87.83663
712,95.72311
713,135.95882
714,170.60168
715,166.12303
716,158.50912
717,155.85455
718,148.6254
719,131.46715
720,120.65307
721,103.55451
722,97.33044
723,92.3114
724,96.71114
725,103.46338
726,124.07279
727,145.89148
728,137.03198
729,85.20575
730,53.60016
731,30.7855
732,24.1208
733,14.6469
734,12.60476
735,19.97909
736,63.28507
737,97.85555
738,136.02528
739,134.64822
740,132.71594
741,129.34256
742,121.10622
743,106.23002
744,98.64651
745,111.40333
746,107.9813
747,106.14272
748,107.68688
749,112.59627
750,131.77505
751,155.16862
752,137.43051
753,100.72622
754,57.92206
755,38.65699
756,30.68664
757,17.15536
758,11.3721
759,19.7257
760,83.47126
761,110.30777
762,140.33884
763,143.1862
764,134.25471
765,121.19823
766,118.11818
767,110.55785
768,107.72204
769,139.93138
770,139.90114
771,135.89764
772,140.50648
773,147.27473
774,165.28558
775,189.00127
776,173.47858
777,132.41342
778,117.00721
779,96.66644
780,94.75269
781,98.59344
782,95.86447
783,115.31563
784,132.24033
785,161.02982
786,178.23895
787,180.40675
788,176.76001
789,166.24664
790,157.38513
791,145.5229
792,146.16766
793,70.86982
794,64.34222
795,60.65686
796,60.9162
797,60.90945
798,74.81494
799,94.06333
800,89.81537
801,67.51662
802,57.55715
803,52.68772
804,49.63335
805,46.70971
806,42.88185
807,43.5799
808,47.5611
809,59.62913
810,85.14011
811,87.83394
812,81.17021
813,77.22422
814,68.46049
815,58.82519
816,61.34289
817,64.79434
818,57.78737
819,57.11757
820,56.9938
821,58.96693
822,59.51
823,71.00716
824,55.62596
825,39.51202
826,21.16147
827,11.59583
828,7.53557
829,6.66777
830,6.61133
831,9.07263
832,31.34797
833,55.28583
834,75.59953
835,76.37445
836,67.24733
837,60.41831
838,57.52472
839,54.30106
840,53.04804
841,51.50452
842,49.7376
843,49.5441
844,48.37435
845,48.94632
846,48.89109
847,54.1624
848,46.63127
849,18.06272
850,2.45841
851,-5.77243
852,-2.9081
853,-6.22445
854,-4.6933
855,-1.62915
856,5.92303
857,43.73852
858,67.89082
859,69.01748
860,64.8994
861,58.3791
862,53.76211
863,51.60222
864,51.24484
865,44.73255
866,43.56068
867,43.4449
868,43.5579
869,47.25103
870,58.08316
871,80.19829
872,66.55442
873,38.22683
874,10.35838
875,1.88513
876,-0.6365
877,-3.19331
878,-5.71092
879,-3.03543
880,19.36084
881,55.36841
882,81.94998
883,82.80002
884,80.22225
885,73.99134
886,73.42483
887,59.85
888,56.6907
889,53.27757
890,50.70089
891,46.20156
892,46.2457
893,51.03035
894,63.64286
895,78.26035
896,59.93425
897,38.97194
898,9.1596
899,1.17856
900,-0.65774
901,-0.51094
902,-0.29313
903,5.23059
904,27.16497
905,53.68884
906,74.12176
907,72.81951
908,67.82689
909,64.56603
910,59.83176
911,53.84336
912,51.14323
913,52.16163
914,51.40185
915,50.56093
916,50.497
917,53.22239
918,61.74478
919,83.77
920,62.20295
921,43.33631
922,12.23944
923,1.85139
924,1.13787
925,-1.39887
926,-1.76431
927,1.8311
928,28.65012
929,55.75292
930,80.23915
931,77.82798
932,71.40645
933,68.09902
934,63.52037
935,54.57861
936,53.47725
937,57.51547
938,56.54092
939,53.28751
940,53.66248
941,55.38028
942,66.0144
943,85.21959
944,62.47955
945,34.3767
946,6.59971
947,-1.29953
948,-2.38076
949,-2.10085
950,-2.4702
951,1.3101
952,25.12226
953,54.46286
954,77.21267
955,78.27275
956,70.99595
957,68.32677
958,64.35237
959,57.36676
960,54.46412
961,56.5387
962,55.00812
963,53.86746
964,52.72354
965,61.19688
966,69.62599
967,83.46396
968,65.32817
969,49.11313
970,20.03915
971,10.46994
972,10.5505
973,9.46155
974,16.98618
975,21.22551
976,43.00946
977,63.15371
978,78.09194
979,76.54835
980,70.55832
981,68.59386
982,64.60382
983,62.42438
984,59.16909
985,59.13951
986,57.96514
987,57.9067
988,54.73641
989,55.28129
990,58.36613
991,63.36196
992,56.53568
993,47.51976
994,16.24269
995,4.55029
996,-0.16051
997,-1.20682
998,-3.05367
999,-0.15026
1000,15.67357
1001,56.42376
1002,76.06506
1003,78.99016
1004,72.89606
1005,71.51094
1006,67.92482
1007,64.05818
1008,60.28286
1009,59.61322
1010,57.97832
1011,57.26434
1012,55.32106
1013,58.85009
1014,60.99935
1015,62.84441
1016,56.60685
1017,48.59488
1018,39.16203
1019,22.76627
1020,8.22935
1021,13.34381
1022,14.12083
1023,21.8102
1024,38.31834
1025,61.75029
1026,72.1123
1027,72.02684
1028,71.05055
1029,69.02429
1030,65.39649
1031,59.20287
1032,58.39541
1033,54.05864
1034,55.97812
1035,55.4287
1036,56.09848
1037,60.57977
1038,73.33068
1039,89.58636
1040,73.07747
1041,53.12872
1042,40.82407
1043,20.19921
1044,7.25955
1045,0.77871
1046,-1.40904
1047,-0.10557
1048,13.79046
1049,57.77285
1050,75.84279
1051,76.7633
1052,70.45317
1053,66.08224
1054,63.9235
1055,59.14759
1056,57.66679
1057,56.53501
1058,53.31014
1059,52.69836
1060,52.68354
1061,54.27154
1062,64.21049
1063,83.74077
1064,69.33043
1065,55.59983
1066,45.79027
1067,24.049
1068,11.47224
1069,1.51648
1070,0.01706
1071,1.42774
1072,30.90994
1073,60.61092
1074,82.87516
1075,83.99413
1076,82.75595
1077,81.75867
1078,79.36463
1079,75.2064
1080,70.64449
1081,54.09181
1082,53.00505
1083,53.03467
1084,55.99739
1085,57.65999
1086,76.19487
1087,91.79701
1088,72.1977
1089,49.89776
1090,38.03975
1091,23.93282
1092,13.05096
1093,7.50304
1094,2.80522
1095,8.31604
1096,30.42288
1097,58.94242
1098,83.71731
1099,93.04538
1100,82.84413
1101,79.70654
1102,75.95256
1103,69.55379
1104,60.71502
1105,77.1697
1106,75.55498
1107,75.46258
1108,81.03938
1109,89.97511
1110,98.10706
1111,108.23543
1112,90.77587
1113,68.29303
1114,54.20138
1115,55.60053
1116,50.47463
1117,49.66987
1118,48.48824
1119,50.22381
1120,58.4884
1121,81.75446
1122,103.06047
1123,106.02865
1124,100.70231
1125,98.97674
1126,91.2977
1127,87.31323
1128,80.21699
1129,82.56669
1130,78.30454
1131,76.04008
