Delivery Date,Settlement Point Price
1/1/23,7.88
1/1/23,7.35
1/1/23,5.89
1/1/23,5.50
1/1/23,5.80
1/1/23,5.90
1/1/23,11.44
1/1/23,12.38
1/1/23,13.75
1/1/23,14.24
1/1/23,16.81
1/1/23,17.33
1/1/23,17.22
1/1/23,18.13
1/1/23,19.57
1/1/23,17.27
1/1/23,25.30
1/1/23,33.44
1/1/23,24.48
1/1/23,18.56
1/1/23,16.02
1/1/23,16.68
1/1/23,10.86
1/1/23,5.20
1/2/23,9.61
1/2/23,5.11
1/2/23,4.33
1/2/23,4.43
1/2/23,7.85
1/2/23,10.68
1/2/23,14.61
1/2/23,17.16
1/2/23,19.16
1/2/23,19.94
1/2/23,19.68
1/2/23,20.01
1/2/23,18.81
1/2/23,14.24
1/2/23,10.06
1/2/23,7.89
1/2/23,12.59
1/2/23,29.39
1/2/23,16.42
1/2/23,7.81
1/2/23,3.96
1/2/23,9.87
1/2/23,7.92
1/2/23,4.97
1/3/23,9.14
1/3/23,5.54
1/3/23,2.24
1/3/23,7.09
1/3/23,9.42
1/3/23,13.94
1/3/23,19.14
1/3/23,27.01
1/3/23,20.05
1/3/23,15.97
1/3/23,12.73
1/3/23,11.30
1/3/23,11.22
1/3/23,12.84
1/3/23,13.17
1/3/23,13.68
1/3/23,17.06
1/3/23,52.56
1/3/23,39.90
1/3/23,31.12
1/3/23,29.17
1/3/23,22.48
1/3/23,18.58
1/3/23,17.15
1/4/23,15.01
1/4/23,10.33
1/4/23,9.75
1/4/23,9.85
1/4/23,11.82
1/4/23,17.61
1/4/23,27.90
1/4/23,33.85
1/4/23,22.13
1/4/23,18.57
1/4/23,15.04
1/4/23,14.26
1/4/23,14.55
1/4/23,14.78
1/4/23,15.81
1/4/23,18.28
1/4/23,28.12
1/4/23,38.53
1/4/23,39.23
1/4/23,33.40
1/4/23,32.12
1/4/23,28.06
1/4/23,24.19
1/4/23,23.05
1/5/23,26.30
1/5/23,23.19
1/5/23,23.56
1/5/23,25.62
1/5/23,25.93
1/5/23,31.66
1/5/23,70.13
1/5/23,77.35
1/5/23,32.52
1/5/23,27.19
1/5/23,26.93
1/5/23,25.16
1/5/23,24.61
1/5/23,22.08
1/5/23,21.22
1/5/23,21.48
1/5/23,25.13
1/5/23,52.19
1/5/23,28.43
1/5/23,19.65
1/5/23,17.61
1/5/23,16.95
1/5/23,14.89
1/5/23,10.91
1/6/23,5.35
1/6/23,4.06
1/6/23,6.64
1/6/23,7.09
1/6/23,11.10
1/6/23,18.61
1/6/23,30.40
1/6/23,26.14
1/6/23,25.17
1/6/23,11.94
1/6/23,10.88
1/6/23,10.52
1/6/23,10.21
1/6/23,9.57
1/6/23,7.86
1/6/23,10.55
1/6/23,20.67
1/6/23,43.69
1/6/23,32.06
1/6/23,19.69
1/6/23,18.11
1/6/23,19.13
1/6/23,18.66
1/6/23,18.30
1/7/23,25.42
1/7/23,21.92
1/7/23,20.64
1/7/23,19.82
1/7/23,19.03
1/7/23,19.05
1/7/23,22.23
1/7/23,25.92
1/7/23,22.27
1/7/23,20.41
1/7/23,22.40
1/7/23,23.91
1/7/23,24.58
1/7/23,25.01
1/7/23,23.26
1/7/23,25.03
1/7/23,25.75
1/7/23,54.70
1/7/23,38.86
1/7/23,30.37
1/7/23,28.08
1/7/23,26.94
1/7/23,25.26
1/7/23,24.21
1/8/23,25.39
1/8/23,22.84
1/8/23,21.27
1/8/23,21.84
1/8/23,22.15
1/8/23,23.83
1/8/23,25.26
1/8/23,28.94
1/8/23,26.17
1/8/23,23.08
1/8/23,21.48
1/8/23,21.11
1/8/23,20.24
1/8/23,19.69
1/8/23,19.30
1/8/23,18.60
1/8/23,19.50
1/8/23,61.39
1/8/23,31.51
1/8/23,21.72
1/8/23,17.75
1/8/23,18.50
1/8/23,18.29
1/8/23,17.69
1/9/23,11.36
1/9/23,10.40
1/9/23,12.30
1/9/23,13.47
1/9/23,15.00
1/9/23,17.34
1/9/23,21.00
1/9/23,23.50
1/9/23,20.17
1/9/23,17.90
1/9/23,18.07
1/9/23,18.22
1/9/23,18.42
1/9/23,18.50
1/9/23,18.73
1/9/23,19.01
1/9/23,21.53
1/9/23,64.40
1/9/23,40.30
1/9/23,27.20
1/9/23,24.93
1/9/23,24.39
1/9/23,20.60
1/9/23,20.34
1/10/23,15.84
1/10/23,11.87
1/10/23,9.36
1/10/23,8.84
1/10/23,9.80
1/10/23,12.82
1/10/23,22.69
1/10/23,22.42
1/10/23,15.21
1/10/23,9.56
1/10/23,10.58
1/10/23,11.42
1/10/23,10.03
1/10/23,6.90
1/10/23,6.06
1/10/23,10.96
1/10/23,19.23
1/10/23,44.98
1/10/23,22.81
1/10/23,12.29
1/10/23,11.48
1/10/23,10.64
1/10/23,15.74
1/10/23,12.45
1/11/23,6.61
1/11/23,4.71
1/11/23,4.61
1/11/23,5.09
1/11/23,7.81
1/11/23,11.07
1/11/23,24.71
1/11/23,24.10
1/11/23,16.03
1/11/23,9.87
1/11/23,11.54
1/11/23,10.49
1/11/23,3.53
1/11/23,-0.48
1/11/23,-3.23
1/11/23,-2.24
1/11/23,0.56
1/11/23,26.89
1/11/23,21.47
1/11/23,6.54
1/11/23,2.94
1/11/23,4.96
1/11/23,6.00
1/11/23,3.55
1/12/23,4.45
1/12/23,3.27
1/12/23,3.38
1/12/23,3.67
1/12/23,6.32
1/12/23,10.20
1/12/23,22.34
1/12/23,18.70
1/12/23,13.98
1/12/23,10.03
1/12/23,10.64
1/12/23,15.92
1/12/23,18.71
1/12/23,19.77
1/12/23,22.24
1/12/23,21.85
1/12/23,21.38
1/12/23,41.11
1/12/23,46.77
1/12/23,38.84
1/12/23,35.08
1/12/23,35.51
1/12/23,34.16
1/12/23,29.18
1/13/23,30.15
1/13/23,28.40
1/13/23,29.24
1/13/23,28.00
1/13/23,27.66
1/13/23,40.09
1/13/23,66.94
1/13/23,75.70
1/13/23,41.29
1/13/23,31.16
1/13/23,28.45
1/13/23,25.82
