Delivery Date,Settlement Point Price
1/1/23,-2.56
1/1/23,-2.34
1/1/23,-1.98
1/1/23,-1.64
1/1/23,-1.53
1/1/23,-0.78
1/1/23,-1.20
1/1/23,-1.18
1/1/23,-1.02
1/1/23,-1.17
1/1/23,-1.16
1/1/23,-1.35
1/1/23,-0.08
1/1/23,0.00
1/1/23,0.00
1/1/23,0.00
1/1/23,0.00
1/1/23,-1.48
1/1/23,-0.87
1/1/23,-0.90
1/1/23,-1.55
1/1/23,-1.50
1/1/23,-0.30
1/1/23,0.62
1/1/23,2.21
1/1/23,2.36
1/1/23,3.49
1/1/23,7.21
1/1/23,10.78
1/1/23,13.87
1/1/23,15.91
1/1/23,16.40
1/1/23,20.00
1/1/23,16.62
1/1/23,9.75
1/1/23,12.99
1/1/23,10.55
1/1/23,2.90
1/1/23,9.11
1/1/23,14.54
1/1/23,20.20
1/1/23,23.02
1/1/23,22.87
1/1/23,16.74
1/1/23,19.12
1/1/23,19.71
1/1/23,16.01
1/1/23,11.02
1/1/23,12.04
1/1/23,14.30
1/1/23,17.68
1/1/23,20.24
1/1/23,18.94
1/1/23,34.01
1/1/23,19.76
1/1/23,21.18
1/1/23,37.60
1/1/23,31.29
1/1/23,22.51
1/1/23,17.79
1/1/23,23.73
1/1/23,26.46
1/1/23,30.32
1/1/23,31.38
1/1/23,45.80
1/1/23,35.95
1/1/23,61.76
1/1/23,36.79
1/1/23,37.03
1/1/23,55.50
1/1/23,31.34
1/1/23,32.46
1/1/23,26.62
1/1/23,17.21
1/1/23,14.42
1/1/23,12.35
1/1/23,8.26
1/1/23,2.66
1/1/23,4.97
1/1/23,7.41
1/1/23,7.90
1/1/23,7.72
1/1/23,10.42
1/1/23,10.51
1/1/23,10.84
1/1/23,2.85
1/1/23,2.11
1/1/23,2.04
1/1/23,2.42
1/1/23,1.88
1/1/23,1.54
1/1/23,-0.26
1/1/23,-1.49
1/1/23,-1.81
1/1/23,-2.31
1/1/23,-2.33
1/2/23,-2.60
1/2/23,-2.91
1/2/23,-4.45
1/2/23,-5.42
1/2/23,-5.46
1/2/23,-8.70
1/2/23,-18.54
1/2/23,-25.28
1/2/23,-26.01
1/2/23,-25.85
1/2/23,-23.56
1/2/23,-28.90
1/2/23,-30.75
1/2/23,-29.48
1/2/23,-30.56
1/2/23,-30.65
1/2/23,-30.56
1/2/23,-22.76
1/2/23,-26.87
1/2/23,-28.87
1/2/23,-10.27
1/2/23,-6.17
1/2/23,-2.59
1/2/23,-2.42
1/2/23,-2.21
1/2/23,-1.03
1/2/23,2.03
1/2/23,2.10
1/2/23,1.50
1/2/23,2.58
1/2/23,6.17
1/2/23,8.89
1/2/23,10.62
1/2/23,11.57
1/2/23,17.39
1/2/23,17.03
1/2/23,24.64
1/2/23,16.72
1/2/23,16.12
1/2/23,20.71
1/2/23,20.44
1/2/23,18.62
1/2/23,39.04
1/2/23,19.13
1/2/23,19.34
1/2/23,16.16
1/2/23,20.26
1/2/23,15.38
1/2/23,10.24
1/2/23,8.43
1/2/23,11.68
1/2/23,8.73
