Local Time,LMP
1/1/23 0:00,33.88
1/1/23 0:05,39.13
1/1/23 0:10,39.15
1/1/23 0:15,39.15
1/1/23 0:20,39.15
1/1/23 0:25,39
1/1/23 0:30,39
1/1/23 0:35,36.43
1/1/23 0:40,35.49
1/1/23 0:45,35.49
1/1/23 0:50,34.02
1/1/23 0:55,34.02
1/1/23 1:00,38.93
1/1/23 1:05,34.42
1/1/23 1:10,34.42
1/1/23 1:15,33.97
1/1/23 1:20,33.97
1/1/23 1:25,33.97
1/1/23 1:30,32.81
1/1/23 1:35,31.85
1/1/23 1:40,31.85
1/1/23 1:45,31.82
1/1/23 1:50,31.7
1/1/23 1:55,31.68
1/1/23 2:00,31.81
1/1/23 2:05,31.81
1/1/23 2:10,32.8
1/1/23 2:15,31.71
1/1/23 2:20,31.04
1/1/23 2:25,33.11
1/1/23 2:30,31.67
1/1/23 2:35,31.91
1/1/23 2:40,33.38
1/1/23 2:45,33.38
1/1/23 2:50,31.85
1/1/23 2:55,31.85
1/1/23 3:00,32.45
1/1/23 3:05,31.85
1/1/23 3:10,31.85
1/1/23 3:15,31.93
1/1/23 3:20,31.93
1/1/23 3:25,31.72
1/1/23 3:30,31.72
1/1/23 3:35,31.79
1/1/23 3:40,31.79
1/1/23 3:45,31.79
1/1/23 3:50,31.93
1/1/23 3:55,31.93
1/1/23 4:00,31.93
1/1/23 4:05,31.89
1/1/23 4:10,31.88
1/1/23 4:15,31.89
1/1/23 4:20,31.89
1/1/23 4:25,31.89
1/1/23 4:30,31.89
1/1/23 4:35,31.98
1/1/23 4:40,31.98
1/1/23 4:45,31.98
1/1/23 4:50,31.98
1/1/23 4:55,31.98
1/1/23 5:00,31.77
1/1/23 5:05,31.05
1/1/23 5:10,31.05
1/1/23 5:15,31.05
1/1/23 5:20,30.23
1/1/23 5:25,29.64
1/1/23 5:30,29.64
1/1/23 5:35,31.02
1/1/23 5:40,31.02
1/1/23 5:45,28.55
1/1/23 5:50,28.31
1/1/23 5:55,28.31
1/1/23 6:00,29.63
1/1/23 6:05,27.42
1/1/23 6:10,21.44
1/1/23 6:15,21.44
1/1/23 6:20,22.09
1/1/23 6:25,22.09
1/1/23 6:30,27.89
1/1/23 6:35,27.89
1/1/23 6:40,27.91
1/1/23 6:45,27.91
1/1/23 6:50,22.18
1/1/23 6:55,22.18
1/1/23 7:00,27.94
1/1/23 7:05,27.94
1/1/23 7:10,27.94
1/1/23 7:15,29.98
1/1/23 7:20,29.96
1/1/23 7:25,29.96
1/1/23 7:30,22.18
1/1/23 7:35,20.84
1/1/23 7:40,20.84
1/1/23 7:45,22.15
1/1/23 7:50,22.15
1/1/23 7:55,22.1
1/1/23 8:00,22.1
1/1/23 8:05,18.53
1/1/23 8:10,18.51
1/1/23 8:15,18.53
1/1/23 8:20,0
1/1/23 8:25,0
1/1/23 8:30,18.45
1/1/23 8:35,18.45
1/1/23 8:40,18.41
1/1/23 8:45,18.41
1/1/23 8:50,10.39
1/1/23 8:55,10.39
1/1/23 9:00,15.53
1/1/23 9:05,18.37
1/1/23 9:10,18.37
1/1/23 9:15,18.37
1/1/23 9:20,18.41
1/1/23 9:25,18.41
1/1/23 9:30,16.06
1/1/23 9:35,0.03
1/1/23 9:40,0.03
1/1/23 9:45,0
1/1/23 9:50,0
1/1/23 9:55,0
1/1/23 10:00,0
1/1/23 10:05,-26.48
1/1/23 10:10,-26.48
1/1/23 10:15,-26.48
1/1/23 10:20,-11.82
1/1/23 10:25,-11.82
1/1/23 10:30,0
1/1/23 10:35,0
1/1/23 10:40,0
1/1/23 10:45,0
1/1/23 10:50,19.9
1/1/23 10:55,19.88
1/1/23 11:00,20.07
1/1/23 11:05,23.82
1/1/23 11:10,23.82
1/1/23 11:15,23.82
1/1/23 11:20,23.88
1/1/23 11:25,27.03
1/1/23 11:30,27.03
1/1/23 11:35,19.87
1/1/23 11:40,19.87
1/1/23 11:45,19.87
1/1/23 11:50,19.87
1/1/23 11:55,20.51
1/1/23 12:00,19.92
1/1/23 12:05,19.86
1/1/23 12:10,19.86
1/1/23 12:15,22.72
1/1/23 12:20,20.16
1/1/23 12:25,20.16
1/1/23 12:30,18.21
1/1/23 12:35,27.06
1/1/23 12:40,27.06
1/1/23 12:45,23.92
1/1/23 12:50,23.92
1/1/23 12:55,20.47
1/1/23 13:00,20.47
1/1/23 13:05,20.17
1/1/23 13:10,20.17
1/1/23 13:15,20.26
1/1/23 13:20,20.26
1/1/23 13:25,20.29
1/1/23 13:30,20.11
1/1/23 13:35,20.11
1/1/23 13:40,20.3
1/1/23 13:45,20.3
1/1/23 13:50,20.3
1/1/23 13:55,20.32
1/1/23 14:00,20.32
1/1/23 14:05,17.25
1/1/23 14:10,17.25
1/1/23 14:15,20.3
1/1/23 14:20,20.1
1/1/23 14:25,20.1
1/1/23 14:30,20.27
1/1/23 14:35,28.3
1/1/23 14:40,28.3
1/1/23 14:45,30.61
1/1/23 14:50,30.61
1/1/23 14:55,31.21
1/1/23 15:00,31.21
1/1/23 15:05,33.89
1/1/23 15:10,33.89
1/1/23 15:15,33.21
1/1/23 15:20,33.21
1/1/23 15:25,39.41
1/1/23 15:30,39.41
1/1/23 15:35,57.45
1/1/23 15:40,57.45
1/1/23 15:45,64.63
1/1/23 15:50,64.63
1/1/23 15:55,64.63
1/1/23 16:00,60.47
1/1/23 16:05,32.04
1/1/23 16:10,32.04
1/1/23 16:15,31.35
1/1/23 16:20,31.18
1/1/23 16:25,31.18
1/1/23 16:30,42.75
1/1/23 16:35,42.81
1/1/23 16:40,62.95
1/1/23 16:45,62.95
1/1/23 16:50,62.98
1/1/23 16:55,63.05
1/1/23 17:00,66.87
1/1/23 17:05,66.29
1/1/23 17:10,66.29
1/1/23 17:15,66.29
1/1/23 17:20,81.8
1/1/23 17:25,81.8
1/1/23 17:30,84.14
1/1/23 17:35,84.14
1/1/23 17:40,64.49
1/1/23 17:45,64.49
1/1/23 17:50,63.58
1/1/23 17:55,63.58
1/1/23 18:00,63.64
1/1/23 18:05,63.64
1/1/23 18:10,42.87
1/1/23 18:15,33.7
1/1/23 18:20,33.7
1/1/23 18:25,32.02
1/1/23 18:30,31.96
1/1/23 18:35,32.02
1/1/23 18:40,32.02
1/1/23 18:45,33.7
1/1/23 18:50,32.57
1/1/23 18:55,32.57
1/1/23 19:00,33.53
1/1/23 19:05,63.54
1/1/23 19:10,63.54
1/1/23 19:15,36.25
1/1/23 19:20,33.53
1/1/23 19:25,32.07
1/1/23 19:30,32.07
1/1/23 19:35,33.92
1/1/23 19:40,33.92
1/1/23 19:45,33.54
1/1/23 19:50,32.08
1/1/23 19:55,32.08
1/1/23 20:00,41.04
1/1/23 20:05,62.84
1/1/23 20:10,62.84
1/1/23 20:15,54.7
1/1/23 20:20,54.64
1/1/23 20:25,54.64
1/1/23 20:30,33.62
1/1/23 20:35,33.62
1/1/23 20:40,31.8
1/1/23 20:45,31.39
1/1/23 20:50,31.78
1/1/23 20:55,31.78
1/1/23 21:00,41.06
1/1/23 21:05,63.1
1/1/23 21:10,63.08
1/1/23 21:15,63.08
1/1/23 21:20,60.52
1/1/23 21:25,60.52
1/1/23 21:30,33.15
1/1/23 21:35,28.74
1/1/23 21:40,28.74
1/1/23 21:45,20.22
1/1/23 21:50,20.19
1/1/23 21:55,20.19
1/1/23 22:00,20.19
1/1/23 22:05,50.89
1/1/23 22:10,41.02
1/1/23 22:15,41.05
1/1/23 22:20,41.04
1/1/23 22:25,63.25
1/1/23 22:30,63.25
1/1/23 22:35,63.35
1/1/23 22:40,63.35
1/1/23 22:45,63.39
1/1/23 22:50,40.94
1/1/23 22:55,40.94
1/1/23 23:00,63.41
1/1/23 23:05,63.39
1/1/23 23:10,63.39
1/1/23 23:15,37.81
1/1/23 23:20,18.24
1/1/23 23:25,18.22
1/1/23 23:30,18.22
1/1/23 23:35,26.76
1/1/23 23:40,26.76
1/1/23 23:45,34.71
1/1/23 23:50,17.62
1/1/23 23:55,17.62
1/2/23 0:00,27.55
1/2/23 0:05,27.55
1/2/23 0:10,28.24
1/2/23 0:15,28.24
1/2/23 0:20,30.94
1/2/23 0:25,30.95
1/2/23 0:30,30.95
1/2/23 0:35,28.5
1/2/23 0:40,28.5
1/2/23 0:45,28.5
1/2/23 0:50,28.48
1/2/23 0:55,28.47
1/2/23 1:00,28.47
1/2/23 1:05,27.55
1/2/23 1:10,25.58
1/2/23 1:15,25.58
1/2/23 1:20,25.18
1/2/23 1:25,25.18
1/2/23 1:30,25.16
1/2/23 1:35,27.51
1/2/23 1:40,27.51
1/2/23 1:45,27.5
1/2/23 1:50,27.49
1/2/23 1:55,27.49
1/2/23 2:00,27.53
1/2/23 2:05,28.45
1/2/23 2:10,27.71
1/2/23 2:15,27.71
1/2/23 2:20,27.72
1/2/23 2:25,28.4
1/2/23 2:30,28.4
1/2/23 2:35,27.73
1/2/23 2:40,27.73
1/2/23 2:45,27.55
1/2/23 2:50,27.54
1/2/23 2:55,27.54
1/2/23 3:00,27.54
1/2/23 3:05,27.76
1/2/23 3:10,27.78
1/2/23 3:15,27.78
1/2/23 3:20,27.79
1/2/23 3:25,27.79
1/2/23 3:30,28.41
1/2/23 3:35,28.41
1/2/23 3:40,28.41
1/2/23 3:45,28.41
1/2/23 3:50,28.41
1/2/23 3:55,28.43
1/2/23 4:00,28.43
1/2/23 4:05,28.43
1/2/23 4:10,41.69
1/2/23 4:15,41.69
1/2/23 4:20,41.1
1/2/23 4:25,41.1
1/2/23 4:30,43.42
1/2/23 4:35,44.21
1/2/23 4:40,44.21
1/2/23 4:45,44.28
1/2/23 4:50,45.39
1/2/23 4:55,42.97
1/2/23 5:00,42.97
1/2/23 5:05,27.76
1/2/23 5:10,27.76
1/2/23 5:15,29.8
1/2/23 5:20,30
1/2/23 5:25,30
1/2/23 5:30,42.92
1/2/23 5:35,43.85
1/2/23 5:40,27.75
1/2/23 5:45,27.75
1/2/23 5:50,27.62
1/2/23 5:55,27.75
1/2/23 6:00,27.75
1/2/23 6:05,27.75
1/2/23 6:10,27.61
1/2/23 6:15,41.15
1/2/23 6:20,27.91
1/2/23 6:25,27.91
1/2/23 6:30,29.8
1/2/23 6:35,29.78
1/2/23 6:40,29.78
1/2/23 6:45,30.24
1/2/23 6:50,31.72
1/2/23 6:55,31.72
1/2/23 7:00,30.69
1/2/23 7:05,30.69
1/2/23 7:10,33.39
1/2/23 7:15,33.39
1/2/23 7:20,81.82
1/2/23 7:25,81.82
1/2/23 7:30,90.22
1/2/23 7:35,82.79
1/2/23 7:40,82.79
1/2/23 7:45,82.79
1/2/23 7:50,82.89
1/2/23 7:55,82.87
1/2/23 8:00,82.87
1/2/23 8:05,29.76
1/2/23 8:10,29.76
1/2/23 8:15,29.76
1/2/23 8:20,30.26
1/2/23 8:25,30.26
1/2/23 8:30,33.04
1/2/23 8:35,33.04
1/2/23 8:40,33.07
1/2/23 8:45,33.07
1/2/23 8:50,64.22
1/2/23 8:55,64.22
1/2/23 9:00,64.1
1/2/23 9:05,64.29
1/2/23 9:10,64.26
1/2/23 9:15,64.26
1/2/23 9:20,63.32
1/2/23 9:25,63.32
1/2/23 9:30,63.32
1/2/23 9:35,63.33
1/2/23 9:40,63.33
1/2/23 9:45,60.24
1/2/23 9:50,48.3
1/2/23 9:55,63.24
1/2/23 10:00,63.24
1/2/23 10:05,65.41
1/2/23 10:10,65.41
1/2/23 10:15,65.39
1/2/23 10:20,65.37
1/2/23 10:25,65.37
1/2/23 10:30,65.37
1/2/23 10:35,60.27
1/2/23 10:40,60.28
1/2/23 10:45,60.28
1/2/23 10:50,48.25
1/2/23 10:55,48.24
1/2/23 11:00,48.24
1/2/23 11:05,66.35
1/2/23 11:10,66.35
1/2/23 11:15,66.35
1/2/23 11:20,66.12
1/2/23 11:25,66.12
1/2/23 11:30,66.12
1/2/23 11:35,66.12
1/2/23 11:40,66.12
1/2/23 11:45,48.23
1/2/23 11:50,32.63
1/2/23 11:55,32.63
1/2/23 12:00,45
1/2/23 12:05,47.1
1/2/23 12:10,47.1
1/2/23 12:15,47.1
1/2/23 12:20,55.02
1/2/23 12:25,48.25
1/2/23 12:30,48.25
1/2/23 12:35,60.77
1/2/23 12:40,62.44
1/2/23 12:45,62.44
1/2/23 12:50,62.43
1/2/23 12:55,62.43
1/2/23 13:00,33.11
1/2/23 13:05,65.76
1/2/23 13:10,65.76
1/2/23 13:15,65.76
1/2/23 13:20,66.1
1/2/23 13:25,66.1
1/2/23 13:30,69.49
1/2/23 13:35,69.52
1/2/23 13:40,69.52
1/2/23 13:45,69.41
1/2/23 13:50,69.45
1/2/23 13:55,69.42
1/2/23 14:00,69.42
1/2/23 14:05,77.72
1/2/23 14:10,77.72
1/2/23 14:15,77.72
1/2/23 14:20,77.71
1/2/23 14:25,76.57
1/2/23 14:30,76.57
1/2/23 14:35,76.45
1/2/23 14:40,76.45
1/2/23 14:45,48.26
1/2/23 14:50,55.04
1/2/23 14:55,55.04
1/2/23 15:00,91.81
1/2/23 15:05,91.78
1/2/23 15:10,91.78
1/2/23 15:15,91.69
1/2/23 15:20,92.72
1/2/23 15:25,92.72
1/2/23 15:30,107.08
1/2/23 15:35,93.94
1/2/23 15:40,93.94
1/2/23 15:45,107.13
1/2/23 15:50,107.06
1/2/23 15:55,101.12
1/2/23 16:00,101.12
1/2/23 16:05,66.9
1/2/23 16:10,66.9
1/2/23 16:15,66.85
1/2/23 16:20,66.85
1/2/23 16:25,89.34
1/2/23 16:30,89.34
1/2/23 16:35,108.05
1/2/23 16:40,108.87
1/2/23 16:45,108.87
1/2/23 16:50,134.74
1/2/23 16:55,134.74
1/2/23 17:00,113.2
1/2/23 17:05,133.98
1/2/23 17:10,133.98
1/2/23 17:15,110.9
1/2/23 17:20,134.08
1/2/23 17:25,134.08
1/2/23 17:30,154.98
1/2/23 17:35,98.75
1/2/23 17:40,98.75
1/2/23 17:45,134.43
1/2/23 17:50,134.47
1/2/23 17:55,154.96
1/2/23 18:00,160.16
1/2/23 18:05,98.76
1/2/23 18:10,98.76
1/2/23 18:15,95.77
1/2/23 18:20,95.77
1/2/23 18:25,102.27
1/2/23 18:30,95.71
1/2/23 18:35,95
1/2/23 18:40,95
1/2/23 18:45,94.74
1/2/23 18:50,94.64
1/2/23 18:55,94.64
1/2/23 19:00,94.98
1/2/23 19:05,94.97
1/2/23 19:10,94.97
1/2/23 19:15,89.47
1/2/23 19:20,89.39
1/2/23 19:25,89.39
1/2/23 19:30,89.4
1/2/23 19:35,67.93
1/2/23 19:40,67.95
1/2/23 19:45,67.95
1/2/23 19:50,65.96
1/2/23 19:55,65.96
1/2/23 20:00,65.96
1/2/23 20:05,154.98
1/2/23 20:10,138.11
1/2/23 20:15,117.46
1/2/23 20:20,107.55
1/2/23 20:25,107.55
1/2/23 20:30,80.57
1/2/23 20:35,80.57
1/2/23 20:40,68.69
1/2/23 20:45,68.69
1/2/23 20:50,63.98
1/2/23 20:55,62.77
1/2/23 21:00,62.77
1/2/23 21:05,157.65
1/2/23 21:10,157.65
1/2/23 21:15,157.65
1/2/23 21:20,94.71
1/2/23 21:25,157.83
1/2/23 21:30,107.63
1/2/23 21:35,68.01
1/2/23 21:40,68.01
1/2/23 21:45,67.94
1/2/23 21:50,107.87
1/2/23 21:55,107.87
1/2/23 22:00,107.83
1/2/23 22:05,108.43
1/2/23 22:10,108.43
1/2/23 22:15,107.93
1/2/23 22:20,108.77
1/2/23 22:25,108.77
1/2/23 22:30,64.99
1/2/23 22:35,64.98
1/2/23 22:40,57.78
1/2/23 22:45,66.96
1/2/23 22:50,66.96
1/2/23 22:55,94.34
1/2/23 23:00,55.97
1/2/23 23:05,58
1/2/23 23:10,55.2
1/2/23 23:15,55.79
1/2/23 23:20,55.79
1/2/23 23:25,55.76
1/2/23 23:30,55.76
1/2/23 23:35,55.76
1/2/23 23:40,60.15
1/2/23 23:45,60.15
1/2/23 23:50,80.39
1/2/23 23:55,80.4
1/3/23 0:00,80.4
1/3/23 0:05,107.28
1/3/23 0:10,107.28
1/3/23 0:15,107.22
1/3/23 0:20,107.22
1/3/23 0:25,62.94
1/3/23 0:30,48.42
1/3/23 0:35,47.06
1/3/23 0:40,47.06
1/3/23 0:45,46.76
1/3/23 0:50,46.76
1/3/23 0:55,55.72
1/3/23 1:00,55.72
1/3/23 1:05,80.45
1/3/23 1:10,62.93
1/3/23 1:15,62.93
1/3/23 1:20,48.46
1/3/23 1:25,48.45
1/3/23 1:30,48.45
1/3/23 1:35,47.26
1/3/23 1:40,47.25
1/3/23 1:45,47.25
1/3/23 1:50,47.25
1/3/23 1:55,47.07
1/3/23 2:00,46.79
1/3/23 2:05,65.58
1/3/23 2:10,65.58
1/3/23 2:15,62.88
1/3/23 2:20,66.91
1/3/23 2:25,66.91
1/3/23 2:30,63.06
1/3/23 2:35,65.32
1/3/23 2:40,65.32
1/3/23 2:45,62.98
1/3/23 2:50,55.74
1/3/23 2:55,65.29
1/3/23 3:00,48.49
1/3/23 3:05,80.53
1/3/23 3:10,80.53
1/3/23 3:15,55.74
1/3/23 3:20,63.6
1/3/23 3:25,80.54
1/3/23 3:30,80.54
1/3/23 3:35,55.33
1/3/23 3:40,55.45
1/3/23 3:45,94.58
1/3/23 3:50,94.58
