interval,DAM_val
1,27.51
2,26.48
3,26.36
4,26.25
5,25.59
6,25.98
7,28.01
8,30.58
9,30.72
10,32.94
11,33.65
12,34.07
13,33.25
14,33.03
15,32.97
16,33.19
17,36.13
18,44.21
19,43.64
20,41.55
21,38.55
22,37.31
23,34.73
24,33.47
25,27.42
26,27.05
27,25.21
28,26.54
29,26.63
30,26.38
31,28.69
32,33.33
33,35.34
34,34.79
35,34.72
36,35.65
37,35.25
38,35.7
39,34.13
40,32.12
41,33.78
42,38.83
43,37.15
44,34.86
45,32.72
46,29.81
47,28.06
48,24.75
49,27.31
50,25.63
51,24.15
52,22.9
53,22.48
54,24.18
55,27.45
56,29.44
57,31.86
58,32.66
59,32.69
60,33.65
61,32.28
62,31.58
63,31.11
64,31.22
65,32.64
66,40.0
67,39.4
68,36.43
69,31.69
70,31.19
71,28.59
72,27.8
73,24.97
74,22.81
75,22.54
76,22.75
77,22.95
78,24.77
79,30.93
80,34.05
81,35.75
82,35.66
83,34.77
84,34.22
85,32.81
86,31.33
87,30.61
88,30.6
89,34.32
90,41.55
91,42.32
92,38.09
93,35.76
94,33.51
95,30.71
96,29.64
97,24.8
98,24.86
99,24.46
100,23.83
101,23.88
102,27.86
103,33.14
104,38.92
105,38.46
106,35.26
107,35.09
108,35.42
109,34.83
110,35.1
111,34.72
112,34.78
113,40.31
114,52.0
115,51.71
116,48.53
117,46.21
118,43.76
119,40.69
120,38.08
121,38.39
122,36.53
123,35.59
124,35.7
125,36.99
126,43.85
127,47.29
128,58.27
129,58.61
130,55.37
131,50.44
132,49.23
133,47.1
134,44.46
135,42.3
136,40.4
137,44.57
138,50.57
139,51.31
140,43.88
141,44.22
142,42.29
143,39.44
144,40.39
145,40.91
146,37.85
147,36.15
148,35.75
149,35.02
150,35.8
151,38.36
152,41.0
153,42.83
154,43.87
155,43.36
156,43.43
157,40.03
158,39.17
159,36.07
160,35.45
161,38.71
162,49.67
163,47.07
164,42.39
165,38.79
166,37.28
167,36.58
168,33.33
169,30.68
170,30.59
171,30.2
172,30.21
173,28.87
174,29.3
175,29.4
176,31.35
177,33.39
178,34.23
179,35.66
180,33.34
181,32.02
182,30.77
183,30.05
184,30.12
185,33.01
186,41.45
187,41.57
188,38.19
189,34.16
190,31.71
191,29.89
