Eastern Date Hour,DAM Zonal LBMP
1/1/23 0:00,21.88
1/1/23 1:00,20.4
1/1/23 2:00,18.44
1/1/23 3:00,17.59
1/1/23 4:00,18.47
1/1/23 5:00,19.41
1/1/23 6:00,24.1
1/1/23 7:00,22.28
1/1/23 8:00,28.21
1/1/23 9:00,28.27
1/1/23 10:00,27.97
1/1/23 11:00,28.69
1/1/23 12:00,28.95
1/1/23 13:00,29.19
1/1/23 14:00,29.74
1/1/23 15:00,28.63
1/1/23 16:00,35.03
1/1/23 17:00,37.54
1/1/23 18:00,32.99
1/1/23 19:00,31.46
1/1/23 20:00,30.28
1/1/23 21:00,30.2
1/1/23 22:00,29.58
1/1/23 23:00,27.77
1/2/23 0:00,28.52
1/2/23 1:00,26.87
1/2/23 2:00,25.56
1/2/23 3:00,23.76
1/2/23 4:00,23.83
1/2/23 5:00,27.44
1/2/23 6:00,30.64
1/2/23 7:00,30.92
1/2/23 8:00,32.31
1/2/23 9:00,31.28
1/2/23 10:00,31.08
1/2/23 11:00,30.8
1/2/23 12:00,30.74
1/2/23 13:00,30.52
1/2/23 14:00,30.68
1/2/23 15:00,32.12
1/2/23 16:00,37.23
1/2/23 17:00,41.19
1/2/23 18:00,39.42
1/2/23 19:00,36.9
1/2/23 20:00,34.67
1/2/23 21:00,31.24
1/2/23 22:00,30.46
1/2/23 23:00,30.77
1/3/23 0:00,28.72
1/3/23 1:00,27.66
1/3/23 2:00,26.09
1/3/23 3:00,25.07
1/3/23 4:00,26.14
1/3/23 5:00,28.41
1/3/23 6:00,30.98
1/3/23 7:00,32.02
1/3/23 8:00,32.2
1/3/23 9:00,32.25
1/3/23 10:00,32.23
1/3/23 11:00,32.15
1/3/23 12:00,32.05
1/3/23 13:00,32.55
1/3/23 14:00,31.81
1/3/23 15:00,32.21
1/3/23 16:00,34.38
1/3/23 17:00,40.4
1/3/23 18:00,35.89
1/3/23 19:00,33.12
1/3/23 20:00,31.42
1/3/23 21:00,30.57
1/3/23 22:00,29.87
1/3/23 23:00,29.02
1/4/23 0:00,27.6
1/4/23 1:00,25.57
1/4/23 2:00,25.17
1/4/23 3:00,24.77
1/4/23 4:00,25.23
1/4/23 5:00,26.67
1/4/23 6:00,30.96
1/4/23 7:00,32.25
1/4/23 8:00,35.2
1/4/23 9:00,36.59
1/4/23 10:00,34.2
1/4/23 11:00,34.41
1/4/23 12:00,33.3
1/4/23 13:00,33.98
1/4/23 14:00,32.7
1/4/23 15:00,34.17
1/4/23 16:00,41.75
1/4/23 17:00,50.77
1/4/23 18:00,45
1/4/23 19:00,38.81
1/4/23 20:00,35.91
1/4/23 21:00,33.01
1/4/23 22:00,31.77
1/4/23 23:00,30.43
1/5/23 0:00,23.64
1/5/23 1:00,23.16
1/5/23 2:00,22.14
1/5/23 3:00,23
1/5/23 4:00,23.17
1/5/23 5:00,23.94
1/5/23 6:00,28.48
1/5/23 7:00,33.73
1/5/23 8:00,34.5
1/5/23 9:00,35.6
1/5/23 10:00,33.42
1/5/23 11:00,33.59
1/5/23 12:00,33.18
1/5/23 13:00,33.46
1/5/23 14:00,33.23
1/5/23 15:00,33.57
1/5/23 16:00,40.33
1/5/23 17:00,49.13
1/5/23 18:00,42.96
1/5/23 19:00,35.78
1/5/23 20:00,34.26
1/5/23 21:00,31.71
1/5/23 22:00,29.29
1/5/23 23:00,27.32
1/6/23 0:00,27.39
1/6/23 1:00,25.69
1/6/23 2:00,25.44
1/6/23 3:00,25.02
1/6/23 4:00,24.95
1/6/23 5:00,27.97
1/6/23 6:00,35.37
1/6/23 7:00,39.63
1/6/23 8:00,44.64
1/6/23 9:00,43.11
1/6/23 10:00,41.29
1/6/23 11:00,41.32
1/6/23 12:00,39.1
1/6/23 13:00,38.02
1/6/23 14:00,37.86
1/6/23 15:00,41.13
1/6/23 16:00,49.08
1/6/23 17:00,58.79
1/6/23 18:00,51.03
1/6/23 19:00,41.75
1/6/23 20:00,38.48
1/6/23 21:00,37.34
1/6/23 22:00,35.77
1/6/23 23:00,33.49
1/7/23 0:00,28.59
1/7/23 1:00,25.99
1/7/23 2:00,28.15
1/7/23 3:00,24.73
1/7/23 4:00,24.85
1/7/23 5:00,26.01
1/7/23 6:00,25.95
1/7/23 7:00,28.18
1/7/23 8:00,36.39
1/7/23 9:00,34.77
1/7/23 10:00,31.68
1/7/23 11:00,30.47
1/7/23 12:00,30.57
1/7/23 13:00,27.93
1/7/23 14:00,27.67
1/7/23 15:00,30.6
1/7/23 16:00,35.1
1/7/23 17:00,43.12
1/7/23 18:00,42.43
1/7/23 19:00,38.65
1/7/23 20:00,37.19
1/7/23 21:00,35.3
1/7/23 22:00,35.2
1/7/23 23:00,31.2
1/8/23 0:00,34.23
1/8/23 1:00,30.44
1/8/23 2:00,31.34
1/8/23 3:00,30.32
1/8/23 4:00,32.65
1/8/23 5:00,30.59
1/8/23 6:00,34.29
1/8/23 7:00,34.61
1/8/23 8:00,38.41
1/8/23 9:00,38.22
1/8/23 10:00,36.71
1/8/23 11:00,33.41
1/8/23 12:00,33
1/8/23 13:00,32.77
1/8/23 14:00,33.48
1/8/23 15:00,33.75
1/8/23 16:00,40.42
1/8/23 17:00,53.76
1/8/23 18:00,48.05
1/8/23 19:00,37.55
1/8/23 20:00,37.72
1/8/23 21:00,34.42
1/8/23 22:00,33.96
1/8/23 23:00,32.02
1/9/23 0:00,31.06
1/9/23 1:00,29.99
1/9/23 2:00,30.15
1/9/23 3:00,30.86
1/9/23 4:00,31.87
1/9/23 5:00,34.11
1/9/23 6:00,42.33
1/9/23 7:00,44.58
1/9/23 8:00,47.73
1/9/23 9:00,44.28
1/9/23 10:00,39.48
1/9/23 11:00,36.26
1/9/23 12:00,34.87
1/9/23 13:00,34.26
1/9/23 14:00,34.6
1/9/23 15:00,35.29
1/9/23 16:00,41.87
1/9/23 17:00,55.62
1/9/23 18:00,47.97
1/9/23 19:00,41.31
1/9/23 20:00,37.32
1/9/23 21:00,35.74
1/9/23 22:00,34.47
1/9/23 23:00,32
1/10/23 0:00,25.8
1/10/23 1:00,24.09
1/10/23 2:00,24.78
1/10/23 3:00,24.77
1/10/23 4:00,25.96
1/10/23 5:00,32.56
1/10/23 6:00,35.62
1/10/23 7:00,47.05
1/10/23 8:00,50.18
1/10/23 9:00,44.02
1/10/23 10:00,39.62
1/10/23 11:00,37.49
