interval,DAM_val
1,27.3803
2,22.7035
3,21.4782
4,20.5295
5,22.6436
6,18.8836
7,23.0874
8,20.836
9,22.352
10,21.4418
11,22.051
12,21.6856
13,22.9405
14,25.0788
15,26.6693
16,31.6214
17,34.0041
18,37.3963
19,35.0336
20,30.5402
21,34.2107
22,34.3553
23,34.6686
24,32.3007
25,32.392
26,24.8597
27,22.7514
28,20.8929
29,19.722
30,18.1921
31,24.481
32,20.333
33,18.9051
34,19.3163
35,19.3711
36,19.445
37,19.4018
38,25.3385
39,25.8567
40,26.6458
41,25.8723
42,26.2711
43,26.1611
44,24.0084
45,22.9421
46,22.6999
47,23.8495
48,25.2595
49,19.4622
50,16.6859
51,16.4767
52,13.3061
53,11.5456
54,2.8452
55,8.3925
56,4.8876
57,4.4986
58,4.2938
59,9.8293
60,16.3353
61,17.8854
62,21.3534
63,22.5865
64,23.2898
65,20.8723
66,18.8864
67,19.0515
68,20.3943
69,19.4425
70,18.5431
71,22.4814
72,29.298
73,29.9717
74,26.5189
75,21.0493
76,18.8747
77,18.3184
78,17.2846
79,24.0378
80,20.5608
81,23.2833
82,27.1456
83,27.7731
84,36.5086
85,43.9343
86,48.4551
87,41.3286
88,44.4148
89,43.0164
90,32.741
91,28.3766
92,24.055
93,20.755
94,22.8223
95,29.0813
96,40.1017
97,32.6859
98,25.7522
99,20.8727
100,18.4646
101,19.0239
102,18.0171
103,10.35
104,10.3254
105,11.2607
106,11.7145
107,16.0402
108,20.603
109,25.3815
110,29.4332
111,35.47
112,50.3687
113,54.6378
114,44.9244
115,38.0446
116,33.8973
117,32.5867
118,37.3628
119,50.1736
120,65.9285
121,53.7175
122,40.118
123,36.6271
124,33.0837
125,54.8264
126,40.1463
127,34.0835
128,32.6076
129,35.0398
130,36.2297
131,33.9175
132,39.8894
133,48.5596
134,61.9787
135,58.0785
136,63.5651
137,61.2005
138,52.7273
139,49.394
140,41.9162
141,36.2986
142,42.3311
143,43.8227
144,54.8744
145,58.1657
146,40.3275
147,33.0521
148,28.2601
149,26.4007
150,20.9776
151,46.898
152,38.7243
153,29.9727
154,23.5548
155,25.1454
156,31.0611
157,32.2319
158,39.4531
159,44.7619
160,48.8792
161,46.1949
162,38.1339
163,32.6729
164,30.1763
165,28.7318
166,30.194
167,36.0537
168,53.943
169,45.8224
170,38.6639
171,36.1096
172,38.1567
173,35.0732
174,26.3674
175,26.6581
176,25.5921
177,23.6627
178,23.6183
179,24.0009
180,25.9018
181,25.5297
182,31.1052
183,36.0494
184,50.7848
185,46.808
186,35.3944
187,31.1927
188,29.495
189,27.6116
190,31.1426
191,39.3872
192,51.5234
193,29.1554
194,26.4035
195,18.8358
196,15.6493
197,14.0295
198,6.0431
199,-2.7822
200,0.0105
201,-0.3196
202,0.0432
203,7.2131
204,14.5133
205,18.934
206,20.0742
207,18.1379
208,22.0904
209,19.9991
210,18.87
211,17.5837
212,19.1662
213,20.5633
214,23.8064
215,30.1404
216,40.8949
217,31.6885
218,24.1077
219,25.8237
220,26.6393
221,27.7585
222,22.4276
223,20.6639
224,21.0667
225,26.5153
226,29.5481
227,34.0613
228,46.2474
229,59.964
230,66.3357
231,59.7714
232,53.6155
233,46.7049
234,38.9087
235,34.0938
236,32.6877
237,30.9326
238,30.507
239,33.9712
240,43.0208
241,30.9551
242,26.878
243,26.6891
244,22.3829
245,24.4477
246,19.9176
247,19.1107
248,18.9711
249,19.5348
250,19.8526
251,23.3575
252,29.146
253,46.3203
254,45.182
255,33.9375
256,32.4507
257,34.7367
258,29.5141
259,26.9887
260,21.8006
261,17.019
262,12.2619
263,11.8407
264,15.0338
265,11.3469
266,9.4544
267,7.3678
268,2.1617
269,-3.3245
270,-8.9623
271,-13.8476
272,-13.1915
273,-12.6298
274,-12.2662
275,-10.3914
276,-4.6508
277,8.7213
278,15.7184
279,15.303
280,16.0434
281,17.002
282,17.5695
283,21.0473
284,23.6053
285,24.418
286,21.9293
287,27.3854
288,42.9182
289,44.1062
290,35.8237
291,36.252
292,30.4661
293,28.2848
294,25.1469
295,28.7352
296,28.578
297,30.0312
298,30.9372
299,35.1747
300,44.1594
301,59.4773
302,70.0
303,62.1196
304,61.2711
305,53.1236
306,45.0329
307,40.9957
308,35.6041
309,34.4375
310,32.2674
311,32.4986
312,42.1001
313,30.1442
314,23.1693
315,19.8957
316,16.8623
317,14.3678
318,9.893
319,5.6014
320,3.2232
321,1.0
322,-0.3894
323,3.1105
324,9.3927
325,8.79
326,10.6266
327,13.9336
328,15.941
329,15.0219
330,4.8306
331,-0.6555
332,-1.1782
333,-2.0027
334,-2.2988
335,-1.9283
336,1.7714
337,-0.2186
338,-4.3344
339,-4.8723
340,-8.7998
341,-8.8758
342,-11.7679
343,-10.7868
344,-10.4706
345,-8.3532
346,-6.8073
347,-3.8267
348,-1.7326
349,3.0233
350,10.419
351,13.057
352,13.4238
353,12.3453
354,10.1003
355,7.511
356,3.7988
357,1.3406
358,3.2369
359,6.1421
360,16.3474
361,12.1343
362,9.5138
363,8.5281
364,6.17
365,1.0977
366,-3.3816
367,-4.7454
368,-5.8457
369,-7.9572
370,-6.038
371,-3.358
372,-0.049
373,5.2615
374,13.3575
375,17.2252
376,21.2626
377,21.3614
378,19.4608
379,20.3152
380,20.4265
381,19.5834
382,19.5984
383,23.2877
384,46.1183
385,36.444
386,21.5984
387,22.797
388,21.4723
389,21.0061
390,18.2475
391,18.0448
392,17.1926
393,16.6905
394,16.1154
395,20.0229
396,25.6606
397,29.1896
398,28.9323
399,32.9638
400,37.9665
401,43.101
402,38.4714
403,31.9636
404,28.9469
405,26.4348
406,25.4894
407,27.8249
408,32.3584
409,27.6301
410,28.2928
411,30.1126
412,29.1414
413,31.7023
414,23.8964
415,24.5648
416,23.8451
417,25.2886
418,25.1452
419,25.0816
420,27.2917
421,34.9999
422,35.1776
423,28.4449
424,30.0659
425,36.8168
426,26.684
427,24.817
428,16.7146
429,16.1587
430,15.809
431,16.4309
432,20.9381
433,17.5421
434,11.4356
435,9.8311
436,8.9698
437,5.0202
438,-3.2556
439,3.3885
440,2.7809
441,1.1528
442,1.2396
443,5.0076
444,8.867
445,17.4051
446,20.2626
447,21.6178
448,21.8828
449,24.5257
450,23.4936
451,23.2372
452,24.1182
453,26.3779
454,26.6642
455,30.8058
456,46.2091
457,47.4697
458,38.7951
459,35.2881
460,32.6657
461,28.9761
462,26.8463
463,28.4664
464,28.4207
465,29.0644
466,29.1598
467,32.4633
468,36.2924
469,47.5443
470,56.4175
471,47.3049
472,44.0
473,36.4959
474,31.6471
475,29.6498
476,27.5257
477,26.4831
478,24.6045
479,25.2972
480,26.322
481,24.272
482,22.0854
483,22.3829
484,22.2575
485,21.1153
486,22.1159
487,26.4136
488,24.9996
489,23.7314
490,22.6298
491,23.5545
492,24.5329
493,25.7047
494,28.6311
495,30.2362
496,33.4186
497,29.6652
498,28.1226
499,26.6456
500,26.8196
501,25.0352
502,23.9185
503,24.9417
504,34.4632
505,30.2313
506,25.325
507,25.9275
508,27.4312
509,24.264
510,22.2402
511,20.8089
512,20.436
513,21.0292
514,21.6604
515,23.6957
516,24.1946
517,26.388
518,28.5712
519,31.8567
520,40.7188
521,37.7273
522,30.5854
523,30.3101
524,28.9373
525,29.1174
526,30.7575
527,33.33
528,49.5754
529,49.4634
530,33.2297
531,32.5273
532,29.832
533,27.3981
534,24.6763
535,23.333
536,22.8338
537,22.7508
538,22.5596
539,20.6109
540,22.535
541,28.8315
542,33.9238
543,25.9467
544,27.2585
545,28.4282
546,24.173
547,23.9277
548,24.7625
549,25.2937
550,25.9944
551,32.0931
552,47.7282
553,39.7749
554,30.6949
555,29.3685
556,24.8987
557,23.9443
558,23.3889
559,25.6984
560,25.5862
561,26.573
562,27.0888
563,29.4374
564,34.9898
565,46.6118
566,49.6346
567,41.6659
568,44.2558
569,41.0828
570,38.2404
571,37.9608
572,37.058
573,34.1622
574,33.2078
575,36.7437
576,44.6802
577,39.2988
578,34.6872
579,29.9661
580,27.4951
581,27.0581
582,24.9971
583,20.0041
584,18.3514
585,15.8218
586,13.6882
587,16.4853
588,20.2009
589,23.1364
590,21.4361
591,19.1125
592,19.3757
593,18.7609
594,17.2363
595,16.9739
596,16.7067
597,15.8227
598,15.5283
599,18.3946
600,29.9368
601,26.5363
602,22.2102
603,24.979
604,22.7938
605,21.9913
606,20.4127
607,25.1974
608,24.1433
609,24.968
610,23.806
611,23.8989
612,27.6501
613,33.4094
614,34.4679
615,35.7777
616,43.9394
617,35.9792
618,32.0237
619,28.9889
620,25.7358
621,25.6131
622,26.6974
623,26.7491
624,40.477
625,34.9402
626,25.5628
627,17.4332
628,11.9687
629,8.4283
630,0.1527
631,-10.5795
632,-12.2315
633,-12.0197
634,-12.0748
635,-12.4106
636,-8.5164
637,-4.0617
638,2.4262
639,6.8112
640,26.4521
641,33.7129
642,30.9101
643,29.6644
644,28.6648
645,29.0
646,26.9804
647,24.2199
648,27.9402
649,23.7582
650,20.9952
651,20.8467
652,17.1056
653,15.4558
654,11.0423
655,1.6446
656,0.965
657,-0.3854
658,-1.5154
659,-0.9934
660,9.6213
661,12.4678
662,16.3186
663,19.7168
664,22.1071
665,22.5744
666,21.0416
667,19.044
668,17.9645
669,16.905
670,16.0891
671,17.2057
672,21.4081
673,18.3431
674,12.6571
675,9.9651
676,6.9827
677,3.682
678,-1.0062
679,-1.9274
680,1.0196
681,2.2384
682,6.4772
683,10.307
684,16.7401
685,22.383
686,30.6656
687,34.0773
688,37.2588
689,35.6046
690,36.8297
691,35.4416
692,32.5387
693,29.3502
694,31.3575
695,34.3912
696,49.7153
697,53.5556
698,42.8646
699,38.4649
700,31.1334
701,29.4472
702,24.758
703,36.7743
704,34.7451
705,32.7447
706,32.4686
707,37.7005
708,50.0
709,62.5711
710,75.5739
711,65.0002
712,63.7711
713,73.9268
714,61.0805
715,53.3715
716,51.2637
717,44.9798
718,43.9649
719,40.0541
720,59.0498
721,56.548
722,45.386
723,40.3752
724,34.6536
725,33.1783
726,29.5253
727,28.8459
728,28.7317
729,29.0601
730,28.7117
731,32.8649
732,40.0
733,55.26
734,66.2601
735,56.7477
736,51.1111
737,46.3744
738,43.4005
739,40.3001
740,38.4304
741,36.7784
742,36.7743
743,39.2418
744,47.9454
745,47.3059
746,41.4977
747,38.8099
748,29.167
749,24.3712
750,23.1577
751,19.9816
752,18.7269
753,18.6989
754,19.7017
755,23.1159
756,29.8412
757,39.7373
758,42.197
759,36.0104
760,39.1912
761,38.3898
762,36.8221
763,34.6164
764,32.3662
765,31.6835
766,29.356
767,31.0988
768,38.3838
769,40.0737
770,33.8558
771,30.9144
772,28.1022
773,25.3243
774,23.6856
775,21.5159
776,19.9424
777,18.863
778,19.6256
779,20.3065
780,22.3346
781,28.1907
782,30.0533
783,26.425
784,28.6137
785,28.9567
786,25.4383
787,25.0033
788,23.1921
789,21.7141
790,22.4699
791,24.241
792,33.3427
793,35.231
794,33.55
795,31.9407
796,32.575
797,35.2464
798,29.7381
799,34.2453
800,27.9991
801,28.9672
802,29.1816
803,30.3831
804,30.1033
805,33.4405
806,35.3243
807,31.3775
808,27.1408
809,24.2228
810,20.9545
811,19.7821
812,17.8989
813,17.214
814,13.5342
815,11.1884
816,7.5946
817,12.2466
818,4.6781
819,1.7136
820,-1.2464
821,-4.0318
822,-3.8807
823,-6.2733
824,-4.9416
825,-5.3284
826,-4.6502
827,-1.3478
828,5.2215
829,9.1535
830,10.7746
831,11.4321
832,14.7065
833,15.9052
834,11.7008
835,9.0102
836,6.6621
837,6.0477
838,7.2503
839,13.3303
840,19.7138
841,19.528
842,14.7743
843,16.479
844,15.3367
845,18.0311
846,14.1325
847,16.051
848,17.8225
849,18.4018
850,19.1385
851,20.5873
852,23.1695
853,24.475
854,29.1097
855,33.1564
856,39.4991
857,41.0253
858,34.9978
859,29.2969
860,27.1777
861,24.4583
862,23.5595
863,21.4125
864,20.2433
865,17.8202
866,12.8492
867,7.2393
868,3.1665
869,0.0106
870,-6.2921
871,-11.2001
872,-11.9496
873,-11.6543
874,-10.0978
875,-4.9999
876,-1.9606
877,10.6738
878,15.1677
879,15.8544
880,16.9778
881,17.7599
882,15.5812
883,15.9296
884,15.7086
885,14.3975
886,14.6298
887,16.1458
888,18.836
889,16.8415
890,13.2083
891,9.8612
892,2.8977
893,-2.023
894,-5.0002
895,-11.665
896,-11.4903
897,-11.1903
898,-9.4004
899,-6.655
900,-0.7146
901,16.1705
902,21.346
903,19.8431
904,22.1687
905,20.2616
906,19.2359
907,20.2273
908,19.4293
909,19.0893
910,19.1733
911,19.987
912,27.8066
913,29.2071
914,23.4886
915,23.4346
916,22.2474
917,20.0391
918,18.8353
919,22.6777
920,21.4511
921,20.5375
922,20.6185
923,21.616
924,25.2306
925,30.1527
926,31.3339
927,27.5756
928,34.2928
929,32.4585
930,26.6675
931,25.0386
932,22.9791
933,22.577
934,22.5347
935,24.1981
936,33.4667
937,37.6849
938,28.54
939,25.8901
940,19.1366
941,16.3202
942,9.5028
943,15.5984
944,12.6104
945,8.6788
946,8.4912
947,7.2252
948,11.7346
949,16.481
950,17.7734
951,14.4069
952,14.5125
953,7.2638
954,2.3975
955,-1.4003
956,-4.5804
957,-4.7181
958,-3.8958
959,-2.8757
960,2.4847
961,5.2542
962,-0.0862
963,-1.1653
964,-1.8551
965,-1.0134
966,-0.6533
967,5.2174
968,6.5962
969,8.0441
970,10.1439
971,15.0148
972,19.8918
973,25.1364
974,26.4856
975,26.2138
976,27.5867
977,26.3595
978,25.1612
979,24.4387
980,24.193
981,24.2534
982,23.7283
983,26.9295
984,35.2264
985,42.9004
986,28.4807
987,22.2372
988,16.996
989,17.3824
990,16.1363
991,18.3124
992,13.5007
993,16.2905
994,15.3414
995,14.7904
996,16.9663
997,19.7774
998,18.5933
999,18.9553
1000,32.7625
1001,29.5341
1002,21.3598
1003,18.8359
1004,17.28
1005,17.6539
1006,15.8762
1007,15.5877
1008,17.3557
1009,18.4998
1010,11.538
1011,7.1226
1012,4.1272
1013,1.3557
1014,-1.0004
1015,5.5864
1016,5.8641
1017,7.5269
1018,11.863
1019,14.8105
1020,17.997
1021,19.9
1022,20.4498
1023,22.7003
1024,27.0498
1025,23.1956
1026,18.1333
1027,17.5433
1028,15.7556
1029,13.6897
1030,13.4078
